CustomerID,churn
7892-QVYKW,0
3721-CNZHX,0
3079-BCHLN,0
1084-MNSMJ,0
1236-WFCDV,0
2229-VWQJH,0
7519-JTWQH,0
0644-OQMDK,0
8630-FJLIB,0
3316-UWXUY,0
2424-WVHPL,0
4549-ZDQYY,0
7055-JCGNI,0
5088-QZLRL,0
0691-IFBQW,0
9386-LDCZR,0
8405-IGQFX,0
5982-PSMKW,0
1032-MAELW,0
4023-RTIQM,0
7603-USHJS,0
0224-NIJLP,0
0017-DINOC,0
4459-BBGHE,0
3466-BYAVD,1
1764-VUUMT,0
5032-USPKF,0
9629-NHXFW,0
3247-ZVOUO,0
5847-MXBEO,0
9588-OZDMQ,0
8033-ATFAS,0
9415-ZNBSX,0
4929-XIHVW,0
6368-TZZDT,0
2277-DJJDL,0
7503-QQRVF,0
3059-NGMXB,0
9819-FBNSV,0
4445-ZJNMU,0
4208-UFFGW,0
9097-ZUBYC,0
1810-BOHSY,0
0679-IDSTG,0
8091-TTVAX,0
0620-XEFWH,0
2908-ZTPNF,0
9309-BZGNT,0
8734-DKSTZ,0
2884-GBPFB,0
3045-XETSH,0
4694-PHWFW,0
9229-RQABD,0
2958-NHPPS,0
9572-WUKSB,0
5405-ZMYXQ,0
0567-XRHCU,0
8204-YJCLA,0
1061-PNTHC,0
0564-JJHGS,0
7501-IWUNG,0
1399-OUPJN,1
3798-EPWRR,0
3712-PKXZA,0
4174-LPGTI,0
3308-JSGML,0
5331-RGMTT,0
9738-QLWTP,0
3756-VNWDH,0
3884-HCSWG,0
7551-JOHTI,0
6419-ZTTLE,0
9127-QRZMH,1
3726-TBHQT,0
3677-IYRBF,0
2952-QAYZF,0
3546-GHEAE,0
6609-MXJHJ,0
7739-LAXOG,0
7435-ZNUYY,0
1567-DSCIC,0
5178-LMXOP,0
5294-DMSFH,0
7639-SUPCW,0
9838-BFCQT,0
4512-ZUIYL,0
0378-XSZPU,0
6345-FZOQH,0
7517-SAWMO,0
5650-YLIBA,0
6537-QLGEX,0
8838-GPHZP,0
0822-GAVAP,0
1852-QSWCD,0
4844-JJWUY,0
8749-TZYEC,0
0168-XZKBB,0
1614-JBEBI,0
2789-CZANW,0
4854-CIDCF,1
2894-QOJRX,0
7975-TZMLR,0
0854-UYHZD,0
8746-BFOAJ,0
6196-HBOBZ,0
6635-MYYYZ,0
1360-RCYRT,0
7593-JNWRU,0
9576-SYUHJ,0
1934-MKPXS,0
7255-SSFBC,0
8822-KNBHV,0
6300-BWMJX,0
5493-SDRDQ,0
3831-YCPUO,0
7446-KQISO,0
6439-PKTRR,0
7115-IRDHS,0
2525-GVKQU,0
5494-WOZRZ,0
8710-YGLWG,0
1089-XZWHH,0
5649-VUKMC,0
6578-KRMAW,0
9909-DFRJA,0
5222-JCXZT,0
1769-GRUIK,0
0754-EEBDC,0
7734-DBOAI,0
7989-AWGEH,0
2560-PPCHE,0
0221-WMXNQ,0
4712-AUQZO,0
3398-ZOUAA,0
6786-OBWQR,0
1976-AZZPJ,0
6574-MCOEH,0
6859-QNXIQ,0
1696-MZVAU,0
7941-RCJOW,0
7089-RKVSZ,0
5186-PEIZU,0
7758-UJWYS,0
3199-XGZCY,0
2154-KVJFF,0
7901-HXJVA,0
3420-ZDBMA,0
3530-VWVGU,0
6168-YBYNP,0
9708-KFDBY,0
8092-NLTGF,0
1338-CECEE,0
1785-BPHTP,0
6575-SUVOI,0
4373-MAVJG,0
0818-OCPZO,0
3166-PNEOF,0
2985-FMWYF,0
5278-PNYOX,0
3096-GKWEB,0
9112-WSNPU,0
1833-TCXKK,0
5561-NWEVX,0
0991-BRRFB,0
6137-MFAJN,0
8414-OOEEL,0
6145-NNPNO,0
8999-EXMNO,0
6897-UUBNU,0
1202-KKGFU,0
4676-WLUHT,0
3280-NMUVX,0
9337-SRRNI,0
5261-QSHQM,0
7781-HVGMK,0
4774-HHGGS,0
5372-FBKBN,0
6551-VLJMV,0
2575-GFSOE,0
3466-RITXD,0
6986-IXNDM,0
5192-EBGOV,0
6559-RAKOZ,0
8816-VXNZD,0
3327-YBAKM,0
6563-VNPMN,0
2393-DIVAI,0
1346-PJWTK,0
8510-TMWYB,0
8124-NZVGJ,0
5376-PCKNB,0
3863-QSTYI,0
6729-FZWSY,0
0479-HMSWA,0
1767-TGTKO,0
7273-TEFQD,0
6347-DCUIK,0
2391-SOORI,0
5641-DMBFJ,0
2866-IKBTM,0
1343-EHPYB,0
0052-YNYOT,0
6305-YLBMM,0
